"st_id","st_day","st_start","st_high","st_low","st_close","st_before","st_trade","st_money"
"A005930","2019-01-02","39400","39400","38550","38750","50","7847664","304683000000"
"A005930","2019-01-03","38300","38550","37450","37600","-1150","12471493","472967000000"
"A005930","2019-01-04","37450","37600","36850","37450","-150","14108958","525403000000"
"A005930","2019-01-07","38000","38900","37800","38750","1300","12748997","490833000000"
"A005930","2019-01-08","38000","39200","37950","38100","-650","12756554","491578000000"
"A005930","2019-01-09","38650","39600","38300","39600","1500","17452708","683004000000"
"A005930","2019-01-10","40000","40150","39600","39800","200","14731699","587063000000"
"A005930","2019-01-11","40350","40550","39950","40500","700","11661063","470286000000"
"A005930","2019-01-14","40450","40700","39850","40050","-450","11984996","481959000000"
"A005930","2019-01-15","40050","41100","39850","41100","1050","11492756","468238000000"
"A005930","2019-01-16","41150","41450","40700","41450","350","8491595","349968000000"
"A005930","2019-01-17","41700","42100","41450","41950","500","11736903","491377000000"
"A005930","2019-01-18","42000","42400","41950","42300","350","11029256","465779000000"
"A005930","2019-01-21","42700","42750","41900","42750","450","11355701","482176000000"
"A005930","2019-01-22","42750","42850","41850","42150","-600","9964356","420047000000"
"A005930","2019-01-23","41350","42250","41350","42000","-150","11071079","463297000000"
"A005930","2019-01-24","43050","43100","42350","43050","1050","14747623","632002000000"
"A005930","2019-01-25","44300","44750","43750","44750","1700","22789395","1009868000000"
"A005930","2019-01-28","45000","45500","44600","45050","300","17998914","812166000000"
"A005930","2019-01-29","45050","45500","44350","45500","450","16215017","729601000000"
"A005930","2019-01-30","44800","46400","44800","46400","900","17505980","802320000000"
"A005930","2019-01-31","46650","47050","46150","46150","-250","21621145","1007418000000"
"A005930","2019-02-01","46650","46950","46250","46350","200","13832454","644180000000"
"A005930","2019-02-07","46800","47100","46200","46200","-150","15872001","739207000000"
"A005930","2019-02-08","45700","45700","44650","44800","-1400","12689196","571011000000"
"A005930","2019-02-11","44500","45000","44250","45000","200","11125044","496106000000"
"A005930","2019-02-12","44650","46250","44650","46050","1050","13184367","604234000000"
"A005930","2019-02-13","46400","46700","46000","46200","150","11299738","522769000000"
"A005930","2019-02-14","46600","47500","46150","47500","1300","17259341","808870000000"
"A005930","2019-02-15","46750","46850","45650","46050","-1450","10554643","487928000000"
"A005930","2019-02-18","46500","46850","45850","46200","150","8183728","379386000000"
"A005930","2019-02-19","45850","46150","45450","45950","-250","6741395","309244000000"
"A005930","2019-02-20","46750","47100","46500","46900","950","11506720","538847000000"
"A005930","2019-02-21","46500","47200","46200","46950","50","8694009","406412000000"
"A005930","2019-02-22","46500","47150","46450","47150","200","6895772","322775000000"
"A005930","2019-02-25","47400","47550","47050","47350","200","7484716","354012000000"
"A005930","2019-02-26","47350","47450","46500","46750","-600","7985547","374675000000"
"A005930","2019-02-27","47000","47250","46750","46750","0","8045211","377808000000"
"A005930","2019-02-28","46400","46500","45100","45100","-1650","23569321","1073229000000"
"A005930","2019-03-04","46000","46100","44800","44850","-250","12926539","585692000000"
"A005930","2019-03-05","44600","45100","44150","44250","-600","10612405","471638000000"
"A005930","2019-03-06","44000","44300","43700","44000","-250","10202544","447977000000"
"A005930","2019-03-07","43400","44950","43400","44450","450","11049749","490122000000"
"A005930","2019-03-08","44450","44800","43800","43800","-650","7729069","340351000000"
"A005930","2019-03-11","44400","44450","43650","43650","-150","10717408","471358000000"
"A005930","2019-03-12","44300","44950","44150","44650","1000","11431977","508997000000"
"A005930","2019-03-13","44250","44450","43700","43850","-800","8108343","356447000000"
"A005930","2019-03-14","43700","44300","43550","43850","0","18039161","789951000000"
"A005930","2019-03-15","43800","44250","43700","44200","350","16814163","740350000000"
"A005930","2019-03-18","43950","44150","43450","43700","-500","8188876","357784000000"
"A005930","2019-03-19","43750","43900","43550","43900","200","7609563","333043000000"
"A005930","2019-03-20","43800","44200","43100","44050","150","9846242","429486000000"
"A005930","2019-03-21","44600","46250","44050","45850","1800","21138016","966296000000"
